taxpayer_id,out_v1,out_v2,out_v3
H002503-Y9XMRX,4526497,4526497,4526497
H002504-GHETNG,1472250,1472250,1472250
H002505-EQ683F,0,0,0
H002506-ROIVKC,2002715,2002715,2002715
H002507-NT2LO7,-489413,-489413,-489413
H002508-AVI27O,864,864,864
H002509-7WDA9H,-88008,-88008,-88008
H002510-OGN0X8,0,0,0
H002511-5JR2AX,2803315,2803315,2803315
H002512-HY1PC1,0,0,0
H002513-8Z7MC4,-98209,-98209,-98209
H002514-1OP3MS,20264,20264,20264
H002515-PSJRR8,-534670,-534670,-534670
H002516-ITO499,0,0,0
H002517-6T7JWC,3090217,3090217,3090217
H002518-YUI6ID,0,0,0
H002519-5J7MK3,699,699,699
H002520-R5VYYZ,0,0,0
H002521-9CF8PS,301005,301005,301005
H002522-5MNVEY,2948,2948,2948
H002523-7BZ6PK,3223590,3223590,3223590
H002524-L0QXBH,835595,835595,835595
H002525-THEBT3,1975210,1975210,1975210
H002526-TR7FGW,2974063,2974063,2974063
H002527-SO6DD6,2201955,2201955,2201955
H002528-HT2QWA,5082,5082,5082
H002529-5CD475,4270,4270,4270
H002530-LXGXNJ,522133,522133,522133
H002531-HKLGR6,908632,908632,908632
H002532-RKDABN,5662237,5662237,5662237
H002533-54MI77,0,0,0
H002534-0WPLX1,6098287,6098287,6098287
H002535-KKZ1E1,-869257,-869257,-869257
H002536-FLJSXT,694487,694487,694487
H002537-JKRM9M,5069343,5069343,5069343
H002538-O31NJB,68375,68375,68375
H002539-HQ83KH,10810066,10810066,10810066
H002540-223LYW,6155632,6155632,6155632
H002541-S3LMW3,347419,347419,347419
H002542-Y1M6NA,2712640,2712640,2942796
H002543-9DNT5F,-182308,-182308,-182308
H002544-H6HH1V,0,0,0
H002545-P6Z9LA,0,0,0
H002546-A110AO,3837483,3837483,3837483
H002547-G3YLBP,2553951,2553951,2553951
H002548-F40S5B,0,0,0
H002549-OQAKHI,289906,289906,289906
H002550-DBXTQM,-351521,-351521,-351521
H002551-YKIEI0,461692,461692,461692
H002552-JKDCMW,700433,700433,700433
H002553-94FUK0,-901912,-901912,-901912
H002554-ST6YWB,517728,517728,517728
H002555-LDAAWC,-694644,-694644,-694644
H002556-PMX7RM,-215975,-215975,-215975
H002557-GHSUZY,6845,6845,6845
H002558-COKQD2,-328171,-328171,-328171
H002559-Y8YJKH,3782685,3782685,3782685
H002560-MRVTX7,28516,28516,28516
H002561-K0D2YN,-1314575,-1314575,-1314575
H002562-1NIU4Y,1415232,1415232,1415232
H002563-BRDKQK,-190784,-190784,-190784
H002564-LV55M1,7992,7992,7992
H002565-0HE3EA,648423,648423,648423
H002566-VZJ6OM,5532783,5532783,5532783
H002567-1A8N92,1680478,1680478,1680478
H002568-H24CWV,458451,458451,458451
H002569-B6W1N4,3498685,3498685,3498685
H002570-WBI0DV,4011,4011,4011
H002571-4R20I4,3917479,3917479,3917479
H002572-FVMS74,-105459,-105459,-105459
H002573-HM5VV2,0,0,0
H002574-5NL9L2,0,0,0
H002575-MMJX2V,-20096,-20096,-20096
H002576-TCJU8L,148379,148379,148379
H002577-A0HUIR,8204093,8204093,8204093
H002578-NIPYJX,4144641,4144641,4144641
H002579-EGGUN3,0,0,0
H002580-QYRP49,6139611,6139611,6139611
H002581-TT3EAX,930627,930627,930627
H002582-ACX6B6,-137371,-137371,-137371
H002583-IIHC3N,0,0,0
H002584-BLIF2X,761374,761374,761374
H002585-FOONZ0,-738919,-738919,-738919
H002586-7XDMI7,1060933,1060933,1060933
H002587-9R1OZV,0,0,0
H002588-JBVHEU,288904,288904,288904
H002589-9IBKJI,-401768,-401768,-401768
H002590-TE5NPJ,-63207,-63207,-63207
H002591-GS8GE1,1303529,1303529,1303529
H002592-Z0E8QU,9298620,9298620,9298620
H002593-CYEKCE,2646058,2646058,2646058
H002594-PRW7B3,-2633293,-2633293,-2633293
H002595-3G7UYG,0,0,0
H002596-TY4NQ1,5059310,5059310,5059310
H002597-4E5UVY,0,0,0
H002598-VDW89E,1905846,1905846,1905846
H002599-WKBVL5,-548157,-548157,-548157
H002600-86UTLQ,3405,3405,3405
H002601-GMGDDN,-204205,-204205,-204205
H002602-QM3FIW,10975,10975,10975
H002603-NH53I3,0,0,0
H002604-YQDUCD,0,0,0
H002605-YW9L37,5819855,5819855,5819855
H002606-WBDP2B,9617358,9617358,9617358
H002607-S29DX4,0,0,0
H002608-5GOXMB,-361898,-361898,-361898
H002609-HFO1O7,0,0,0
H002610-DCL2BI,0,0,0
H002611-D79IVP,97576,97576,97576
H002612-OZJ75S,0,0,0
H002613-9EMSOE,0,0,0
H002614-06YC5C,2661067,2661067,2661067
H002615-7VROL7,-29678,-29678,-29678
H002616-APBMWC,578988,578988,578988
H002617-7ZE0HH,1577154,1577154,1577154
H002618-P14474,7406731,7406731,7406731
H002619-KKZH4T,5916310,5916310,5916310
H002620-PCA1NB,2629295,2629295,2629295
H002621-L2AXXT,1207,1207,1207
H002622-VOOPP6,-116389,-116389,-113772
H002623-EVQW99,1622817,1622817,1622817
H002624-49575U,7176,7176,7176
H002625-U80N6A,2202754,2202754,2202754
H002626-C1E5HN,1513278,1513278,1513278
H002627-SVQWLN,3071755,3071755,3071755
H002628-FUT61S,433376,433376,433376
H002629-1PTDA7,2837171,2837171,2837171
H002630-CYE1SC,-727669,-727669,-727669
H002631-PCAOST,0,0,0
H002632-1D8R5I,1542199,1542199,1542199
H002633-L5A7WB,0,0,0
H002634-M9HPP7,5387473,5387473,5387473
H002635-AVV3VB,5475372,5475372,5475372
H002636-1B7991,0,0,0
H002637-SVJM3M,681068,681068,681068
H002638-UJMHCH,11385,11385,11385
H002639-SQ41YD,0,0,0
H002640-B8GL3D,10698,10698,10698
H002641-KH4EQC,9243671,9243671,9243671
H002642-LXPW6X,-304110,-304110,-304110
H002643-K51KGO,0,0,0
H002644-85S4GV,28916,28916,28916
H002645-PN9669,7098541,7098541,7098541
H002646-5FFDZT,1825126,1825126,1825126
H002647-DSF2W9,-172443,-172443,-172443
H002648-5G2P6F,425315,376936,425315
H002649-TZCO86,363443,363443,363443
H002650-WHKHQM,5050202,5050202,5050202
H002651-1EVBNL,-351550,-351550,-351550
H002652-0IONY9,4915365,4915365,4915365
H002653-RMHE5M,4007,4007,4007
H002654-W7ZEGN,-178277,-178277,-178277
H002655-AW92WP,4431470,4431470,4431470
H002656-TD5M6R,950196,950196,950196
H002657-4W6IF6,3045,3045,3045
H002658-J6US5I,1244322,1244322,1244322
H002659-8Q1LVY,-837795,-837795,-837795
H002660-M0YFCU,565737,565737,565737
H002661-UOHB6J,8686307,8686307,8686307
H002662-ODTZS3,4851,4851,4851
H002663-EQA3X6,-3533339,-3533339,-3533339
H002664-LD3TZK,2781332,2781332,2781332
H002665-KCERGG,7659982,7659982,7659982
H002666-C04MGN,3255921,3255921,3255921
H002667-JBUWUM,10515363,10515363,10515363
H002668-H3T4CW,0,0,0
H002669-1WKLGD,-516,-516,-516
H002670-UV7HDP,533,533,533
H002671-24BX4I,1173833,1173833,1173833
H002672-1V5H1P,178,178,178
H002673-TEL0BX,-1958073,-1958073,-1958073
H002674-KQKBUO,1239926,1239926,1239926
H002675-C39DV6,3081951,3081951,3081951
H002676-HBKV3Y,2471429,2471429,2471429
H002677-RH9TG5,-1033763,-1033763,-1033763
H002678-5QLSCD,928465,928465,928465
H002679-OPG1Q9,372555,372555,372555
H002680-1LJ999,3919233,3919233,3919233
H002681-OTVVRK,-366264,-366264,-366264
H002682-UW7CGS,-169342,-169342,-169342
H002683-5AKK7R,1102237,1102237,1102237
H002684-64FPL0,0,0,0
H002685-1WWZ9Y,8640794,8640794,8640794
H002686-YOA4XL,2738829,2738829,2738829
H002687-V5Z615,422092,422092,422092
H002688-BGRETN,3729513,3729513,3729513
H002689-22UMMR,1822138,1822138,1822138
H002690-7UY73E,0,0,0
H002691-9EZ6DF,0,0,0
H002692-O05D0Y,-593923,-593923,-593923
H002693-F4RP0U,318122,318122,318122
H002694-EDQ7R1,1523942,1523942,1523942
H002695-Q44BY1,17374,17374,17374
H002696-K4CFZ0,5987640,5987640,5987640
H002697-J8XKQD,-187595,-187595,-187595
H002698-PXZQG8,-222800,-222800,-222800
H002699-TFPV9Q,-89462,-89462,-89462
H002700-3K5BB2,21562,21562,21562
H002701-6NJU46,9160341,9160341,9160341
H002702-XFT6DT,4561334,4561334,4561334
H002703-O67IFA,2736567,2736567,2736567
H002704-2FUW7H,3299104,3299104,3299104
H002705-SY70DJ,3089226,3089226,3089226
H002706-SDT3AL,2852,2852,2852
H002707-PIXWH4,3163056,3163056,3163056
H002708-D5N8WP,568231,568231,568231
H002709-4BY198,-325314,-325314,-325314
H002710-TLTKNY,0,0,0
H002711-6Q3HZJ,0,0,0
H002712-RKX7EZ,7993450,7993450,7993450
H002713-FLWWBM,744940,744940,744940
H002714-LOTMWB,1861979,1861979,1861979
H002715-RWRAAR,1600252,1600252,1600252
H002716-ZMXBKQ,4060437,4060437,4060437
H002717-W3V7CJ,0,0,0
H002718-ACZYSJ,1103654,1103654,1103654
H002719-C61C2W,1524,1524,1524
H002720-GL9UUM,12012,12012,12012
H002721-OJECDU,-142598,-142598,-142598
H002722-Y1VAFT,0,0,0
H002723-0L9RZ0,0,0,0
H002724-KPYEIT,644971,644971,644971
H002725-WJ2L1Z,-2235142,-2235142,-2235142
H002726-H5I0B5,4794550,4794550,4794550
H002727-F3D94Y,-392310,-392310,-392310
H002728-Z1O1EO,1466071,1466071,1466071
H002729-WBO6I1,-2646,-2646,-2646
H002730-18HJ2S,7345745,7345745,7345745
H002731-PD7CJJ,0,0,0
H002732-GTK33F,729843,729843,729843
H002733-25X543,18466,18466,18466
H002734-QU64EY,3653,3653,3653
H002735-4ZHYYO,3050631,3050631,3050631
H002736-O66CID,-86603,-86603,-86603
H002737-P6EL20,5976160,5976160,5976160
H002738-5C23PO,6258983,6258983,6258983
H002739-4XMWJ1,1131183,1131183,1131183
H002740-DP9C9H,0,0,0
H002741-GVEEZB,12545,12545,12545
H002742-QJLA9B,4329209,4329209,4329209
H002743-6F50JD,2856,2856,2856
H002744-9JSY40,477858,477858,477858
H002745-OZAJEX,5466301,5466301,5466301
H002746-P5Y2UR,303141,303141,303141
H002747-71U7J5,0,0,0
H002748-C0NQ4W,0,0,0
H002749-J692YG,0,0,0
H002750-A6OSP0,1296959,1296959,1296959
H002751-BFVHLZ,935835,935835,935835
H002752-YK6LAB,64403,64403,64403
H002753-QV0X7Z,8240993,8240993,8240993
H002754-JLXNE0,396940,396940,396940
H002755-EG5C2P,2255983,2255983,2255983
H002756-ZDRBHN,-1896883,-1896883,-1896883
H002757-1GYNLP,11997,11997,11997
H002758-SLJAKJ,988028,988028,988028
H002759-5V2DNQ,-401863,-401863,-348115
H002760-RIRHUU,12009,12009,12009
H002761-GWV333,635185,635185,635185
H002762-HV7ZY5,7983,7983,7983
H002763-3W2UB5,-704060,-704060,-704060
H002764-WH4LZH,0,0,0
H002765-9H4KLE,0,0,0
H002766-0VZFKY,0,0,0
H002767-JYPXSW,320364,320364,320364
H002768-GIL6ZO,-593583,-593583,-593583
H002769-TW78PU,-3250460,-3250460,-3250460
H002770-Z0QI19,-248500,-248500,-248500
H002771-1Z2I75,877373,877373,877373
H002772-NO8NY5,-704236,-704236,-704236
H002773-L2FHJ0,-1678646,-1678646,-1678646
H002774-USGH6A,-589603,-589603,-589603
H002775-Y15JUA,0,0,0
H002776-7J9HXS,3560,3560,3560
H002777-GFLW8Q,5527,5527,5527
H002778-XRTE99,-207632,-207632,-207632
H002779-OQ0PMV,1961832,1961832,1961832
H002780-RSCBEB,908507,908507,908507
H002781-ACA4AU,-228981,-228981,-228981
H002782-RS1KOK,3976576,3976576,2660413
H002783-NWWTEH,-805617,-805617,-805617
H002784-8UZZ6E,-675954,-675954,-675954
H002785-4CVAUY,-489817,-489817,-489817
H002786-HQ1VEY,8267888,8267888,8267888
H002787-CUHNL4,-735285,-735285,-735285
H002788-6FMV5F,193673,193673,193673
H002789-RZH4EL,76948,76948,76948
H002790-OJHKM9,-212318,-212318,-212318
H002791-AT36FV,-197867,-197867,-197867
H002792-9KE2FJ,1073293,1073293,1073293
H002793-M9KC4F,701909,701909,701909
H002794-HHTJ3I,577391,577391,577391
H002795-06RXTK,11929,11929,11929
H002796-W1QNB6,17476,17476,17476
H002797-J9454L,0,0,0
H002798-Z7YEHR,4618668,4618668,4618668
H002799-J4EEEG,1622716,1622716,1622716
H002800-35JD7S,1265349,1265349,1265349
H002801-WRCRTR,1071638,1071638,1071638
H002802-P2D0FF,1873032,1873032,1873032
H002803-N0T8AN,0,0,0
H002804-5M86E9,-1182140,-1182140,-1182140
H002805-RNTAD9,8969355,8969355,8969355
H002806-0HIPI5,-366437,-366437,-366437
H002807-AB2SD9,0,0,0
H002808-QACVXW,3822128,3822128,3822128
H002809-4WI2LE,286012,286012,286012
H002810-FO89XO,-1883973,-1883973,-1883973
H002811-YDWXA9,-1165684,-1165684,-1165684
H002812-PQMWZT,1606796,1606796,1606796
H002813-VX3Q0I,2774864,2774864,2774864
H002814-TF3F85,0,0,0
H002815-3QB5UL,0,0,0
H002816-Q8C5IX,0,0,0
H002817-H1LAG8,8107098,7433699,7959690
H002818-7VNGFH,9841170,9841170,9841170
H002819-IXNKNV,599790,599790,599790
H002820-JYKUJB,2021954,2021954,2021954
H002821-NXEYAG,7013899,7013899,7013899
H002822-VEPP38,-357834,-357834,-357834
H002823-75F9U6,65,65,65
H002824-8KEJ54,-318951,-318951,-318951
H002825-VRW0F5,3891910,3891910,3891910
H002826-LZC98U,5149,5149,5149
H002827-P0GMRC,-480447,-480447,-480447
H002828-UEQSLM,0,0,0
H002829-LKV36E,298797,298797,298797
H002830-67ZTOA,476482,476482,476482
H002831-FK8JZK,5174092,5174092,5174092
H002832-0XM4SM,6019785,6019785,6019785
H002833-4W29JF,2513393,2513393,2513393
H002834-8OOO3G,0,0,0
H002835-7KXVS2,529562,529562,529562
H002836-HSQXUY,1020007,1020007,1020007
H002837-R381AL,519951,519951,519951
H002838-1PLFO7,-198835,-198835,-198835
H002839-839B4B,2305873,2305873,2305873
H002840-1JLIX7,702748,702748,702748
H002841-Y1WX1A,2469459,2469459,2469459
H002842-YCW6BT,-38236,-38236,-38236
H002843-L30D1B,1017,1017,1017
H002844-PXNNB1,508747,508747,508747
H002845-M1MCUC,4022008,4022008,4022008
H002846-6AMD29,3407152,3407152,3407152
H002847-5KYQ8G,2978280,2978280,2978280
H002848-YJB0D2,11815,11815,11815
H002849-UDSKMW,2729885,2729885,2729885
H002850-VXGOJC,468556,468556,468556
H002851-61TRJL,-274896,-274896,-274896
H002852-0QDPO1,1359862,1359862,1359862
H002853-YDN2SA,4571393,4571393,4571393
H002854-QYS5UM,168265,168265,168265
H002855-EF03GC,4745523,4745523,5079628
H002856-1AMVO1,3494,3494,3494
H002857-0QIJI2,11400003,11400003,11400003
H002858-YN64MA,-333497,-333497,-333497
H002859-AOC9OG,0,0,0
H002860-E265W7,1239926,1239926,1239926
H002861-UG7E29,2463432,2463432,2463432
H002862-8IG7IG,4667730,4667730,4832242
H002863-VCJNI3,8773008,8773008,8773008
H002864-M8TYHR,0,0,0
H002865-9F0LHJ,8505136,8505136,8505136
H002866-JAWFTX,1149852,1149852,1149852
H002867-3KCRNH,2253927,2253927,2253927
H002868-57YVPS,-1130336,-1130336,-1130336
H002869-H906QS,2398159,2398159,2398159
H002870-L6J21B,0,0,0
H002871-E47BO3,-455421,-455421,-455421
H002872-PZGAHA,3376208,3376208,3376208
H002873-9Q7A58,3724071,3724071,3724071
H002874-GYD2F5,1031753,1031753,1031753
H002875-QDGLVM,-110986,-110986,-110986
H002876-2EAB8D,695208,695208,695208
H002877-DPI8QD,0,0,0
H002878-WB3L86,317442,317442,317442
H002879-NEU84M,-528783,-528783,-528783
H002880-TFTH6A,0,0,0
H002881-R8O7AM,5314636,5314636,5314636
H002882-OX9HP8,2741549,2741549,2741549
H002883-F1CJQB,6786167,6786167,6786167
H002884-62OHVY,920741,920741,920741
H002885-6608Z8,-1104011,-1104011,-1104011
H002886-YW4VJI,1429632,1429632,1429632
H002887-S69LRG,19244052,19503726,19503726
H002888-8GRH4Y,5514001,5514001,5514001
H002889-C3GCOF,4624159,4624159,4624159
H002890-1LRXEZ,8996,8996,8996
H002891-DTYU1P,1843481,1843481,1843481
H002892-6O1K1L,-38744,-38744,-38744
H002893-NXQU5N,-243854,-243854,-243854
H002894-EI4HP2,2368745,2368745,2368745
H002895-0PAPPF,10902,10902,10902
H002896-TXBKJW,2118227,2118227,2094842
H002897-X4ACIR,0,0,0
H002898-42E49F,6488670,6488670,6488670
H002899-UG7RIQ,1455874,1455874,1455874
H002900-8H8DEV,3989,3989,3989
H002901-KSR7IT,-838321,-838321,-838321
H002902-RM06CS,-1276552,-1276552,-1276552
H002903-0T5V5B,-454132,-454132,-454132
H002904-36LAEB,-156521,-156521,-156521
H002905-LNIUO2,17067010,17067010,17067010
H002906-RV6FK5,-862973,-862973,-862973
H002907-OLMQ7B,6491324,6491324,6491324
H002908-AXK5E7,11367488,11367488,11367488
H002909-7Z5H75,840987,840987,159726
H002910-W9OE8F,-1145910,-1145910,-1145910
H002911-POPE55,-90712,-90712,-90712
H002912-B63WMF,1979559,1979559,1979559
H002913-J4O6CM,1221404,1221404,1221404
H002914-GHD7IZ,-59250,-59250,-59250
H002915-9Q0ZO9,-332825,-332825,-332825
H002916-L8N537,2303915,2303915,2303915
H002917-RF407Z,10529,10529,10529
H002918-LI2K6Z,2759,2759,2759
H002919-V00LJD,-5987,-5987,-5987
H002920-WZ5RRX,894403,894403,894403
H002921-PECGBB,7145,7145,7145
H002922-87ENYP,-640058,-640058,-640058
H002923-FE6TTZ,4016,4016,4016
H002924-B0T5LJ,1388964,1388964,1388964
H002925-HL63FJ,1780337,1780337,1780337
H002926-KPQ86Z,-172916,-172916,-172916
H002927-35PRYZ,0,0,0
H002928-9HQYP9,3256484,3256484,3256484
H002929-VLPQC5,2232,2232,2232
H002930-GFE0MU,-718035,-718035,-718035
H002931-OF6ITL,5535050,5535050,5535050
H002932-DMPMBA,-345095,-345095,-345095
H002933-7OE5N9,-335293,-335293,-307741
H002934-QVU0AL,16490,16490,16490
H002935-OIZI91,-1259380,-1259380,-1259380
H002936-L893Z7,-112728,-112728,-112728
H002937-2EW6OQ,8019,8019,8019
H002938-BUHECA,19159,19159,19159
H002939-W2L9YK,1508745,1508745,1508745
H002940-4M9ABW,8017,8017,8017
H002941-682NI1,2065216,2065216,2065216
H002942-P1USO5,3864,3864,3864
H002943-4EUL3B,-541704,-541704,-541704
H002944-KFGBX3,-491512,-491512,-491512
H002945-4XB4LB,3435328,3435328,3435328
H002946-0RO2O4,1300107,1300107,1300107
H002947-MB74MY,6175774,6175774,6052958
H002948-8VSN3E,4020,4020,4020
H002949-6RZNZY,805259,805259,805259
H002950-OPT4DA,1888789,1888789,1888789
H002951-IPDCFO,162,162,162
H002952-LI493K,62853,62853,62853
H002953-6HD7RH,632568,632568,632568
H002954-ZEQRNZ,3044,3044,3044
H002955-BD70KC,20097,20097,20097
H002956-GJHPHN,3751992,3751992,3751992
H002957-QBH627,-2462054,-2462054,-2462054
H002958-NLQKOB,-638257,-638257,-638257
H002959-UFT626,4975300,4975300,4812783
H002960-TUHJR2,13678727,13678727,13678727
H002961-516WA8,8039,8039,8039
H002962-QY1LKB,6414460,6414460,6414460
H002963-SSYH8S,0,0,0
H002964-ZD98JF,505818,505818,505818
H002965-F6DKI4,0,0,0
H002966-B9EIWS,1169780,1169780,1169780
H002967-VS95Y0,8329,8329,8329
H002968-RBBTHW,2663295,2663295,2663295
H002969-1INBBN,3338702,3338702,3338702
H002970-T2ASBG,-136976,-136976,-136976
H002971-NW4LBN,0,0,0
H002972-BOF826,0,0,0
H002973-V2BHX4,5547240,5547240,5547240
H002974-0G69S9,10187,10187,10187
H002975-6ZZ66C,-193759,-193759,-193759
H002976-6LRBWF,4134499,4134499,4134499
H002977-QLAG6S,1049590,1049590,1049590
H002978-QQS4ID,0,0,0
H002979-4W7BQ0,-182759,-182759,-182759
H002980-3AGGPA,5705898,5705898,5705898
H002981-BPZPLB,20460,20460,20460
H002982-SMMZSK,2549215,2549215,2549215
H002983-PPHE05,0,0,0
H002984-MHVOUL,0,0,0
H002985-OEDL7H,-19736,-19736,-19736
H002986-RSCG4Q,164713,164713,164713
H002987-PSC17B,60258,60258,60258
H002988-PRGEG0,3612266,3612266,3612266
H002989-ZFG9YO,0,0,0
H002990-H13C0K,11984035,11984035,11988806
H002991-PZOA6F,-94912,-94912,-94912
H002992-297O60,80497,80497,80497
H002993-LWYYJO,-234945,-234945,-234945
H002994-P35HUH,6452171,6452171,6452171
H002995-D4E6YR,0,0,0
H002996-XZZFML,11238,11238,11238
H002997-Q8G064,773265,773265,773265
H002998-5C7TRZ,7539546,7539546,7539546
H002999-OOLLX6,33041,33041,33041
H003000-WFVII8,-750790,-750790,-750790
H003001-G6HQTJ,466698,466698,466698
H003002-3STK1T,2430838,2430838,2430838
H003003-XPOPRL,1217204,1217204,1211616
H003004-JGZH2E,804428,804428,804428
H003005-PMOOEL,843739,843739,843739
H003006-YATDH5,0,0,0
H003007-ZKMCRE,0,0,0
H003008-837JEI,-843046,-843046,-843046
H003009-VHE36Y,1180,1180,1180
H003010-69JQRK,0,0,0
H003011-ZHDBZF,-146842,-146842,-146842
H003012-1ZXCKL,438912,438912,438912
H003013-6ZQXEU,22146,22146,22146
H003014-7HX50B,-202198,-202198,-202198
H003015-LBKQRB,13184872,13184872,13184872
H003016-P35DAQ,0,0,0
H003017-OT4N3U,-777716,-777716,-777716
H003018-SCNJXQ,18931,18931,18931
H003019-CXDS9B,102901,102901,102901
H003020-YTQWV1,0,0,0
H003021-KWOZLN,483778,483778,483778
H003022-2DKH8W,1524201,1524201,1524201
H003023-GJLJPE,2941,2941,2941
H003024-UTEXKN,2393600,2393600,2393600
H003025-DH5QB5,-479738,-479738,-479738
H003026-LSRK3A,-620111,-620111,-620111
H003027-KVI5HO,2657714,2657714,2657714
H003028-1JD9SN,-386412,-386412,-386412
H003029-9V8JH7,0,0,0
H003030-BV3DAM,97112,97112,97112
H003031-MUFZH5,-524436,-524436,-524436
H003032-NIQL0I,0,0,0
H003033-ZI2KKN,0,0,0
H003034-9JK9S6,1402919,1402919,1402919
H003035-ZRAVIC,2052914,2052914,2052914
H003036-JS9FCG,4403160,4403160,4403160
H003037-VTPSVM,1155757,1155757,1155757
H003038-3R9WQ2,7074205,7074205,7074205
H003039-BS8GVM,-391482,-391482,-391482
H003040-GJ7708,3463775,3463775,3463775
H003041-FSIP52,4001,4001,4001
H003042-CVN52K,-608168,-608168,-608168
H003043-T0A0P6,-805072,-805072,-805072
H003044-GA1WB0,-443752,-443752,-443752
H003045-8B7LG7,-1391076,-1391076,-1391076
H003046-KOOJ6F,1692084,1692084,1692084
H003047-N0OPWA,5920037,5920037,5920037
H003048-CQBHXS,2265470,2265470,2638665
H003049-XG97US,3578109,3578109,3578109
H003050-SHWKQP,-133968,-133968,-133968
H003051-3MLU2W,883115,883115,883115
H003052-VOAYUV,4715055,4715055,4715055
H003053-94VFB0,-482565,-482565,-482565
H003054-XZW23Q,1256707,1256707,1256707
H003055-E6IPGH,0,0,0
H003056-GUDQRX,1689,1689,1689
H003057-1A9FV5,9024088,9024088,9024295
H003058-WKDSCO,-58332,-58332,-58332
H003059-QD5UHI,-771585,-771585,-771585
H003060-V13EO0,-954173,-954173,-954173
H003061-EY0SJ7,1189051,1189051,1189051
H003062-R7WKA2,4339,4339,4339
H003063-DH97XV,7990,7990,7990
H003064-VPP94A,0,0,0
H003065-W9GV58,191476,191476,191476
H003066-P54HS1,690139,690139,690139
H003067-LUKWE6,0,0,0
H003068-FFJFKL,0,0,0
H003069-LA87D3,3816291,3816291,3816291
H003070-NH5JSU,47350,47350,47350
H003071-0JOBRQ,3862127,3862127,3862127
H003072-62OVQA,195673,195673,195673
H003073-4024SO,-641450,-641450,-641450
H003074-8VYPED,291652,291652,291652
H003075-7NRXR2,0,0,0
H003076-05N81Z,0,0,0
H003077-FGA5TZ,12010,12010,12010
H003078-FOYX3J,-353530,-353530,-353530
H003079-YH231Z,5580078,5580078,5580078
H003080-5WSLRD,930441,930441,930441
H003081-DC5OT6,199011,199011,199011
H003082-CVY138,7839710,7839710,7839710
H003083-I5PHWS,-1932203,-1932203,-1932203
H003084-WZ6NMA,399724,399724,399724
H003085-MU86XJ,3003582,3003582,3003582
H003086-9ZWL5H,25226,25226,25226
H003087-SM3DRP,3839,3839,3839
H003088-UMEG4P,-753264,-753264,-753264
H003089-B7APEH,2573870,2573870,2573870
H003090-KPI6Q5,-406062,-406062,-406062
H003091-TA8AAT,-21319,-21319,-21319
H003092-KLGFBR,-2571720,-2571720,-2571720
H003093-C1ZWAQ,987075,987075,987075
H003094-ZHSBWZ,-231506,-231506,-231506
H003095-OX5Z9J,1938210,1938210,1938210
H003096-B9HQLO,-20502,-20502,-20502
H003097-72IRJ9,1535,1535,1535
H003098-LXWOZU,979445,979445,979445
H003099-UOQ9D9,823722,823722,823722
H003100-YYA6PR,1670828,1670828,1953347
H003101-MUEI9M,3277908,3277908,3277908
H003102-G5PUWU,-281501,-281501,-281501
H003103-RMPTUX,0,0,0
H003104-NBLPRB,5949012,5949012,5949012
H003105-UMI93X,3182619,3182619,3182619
H003106-B5Y0IO,-464312,-464312,-464312
H003107-TZ53H9,0,0,0
H003108-VZ7XV6,1065410,1065410,1065410
H003109-YOQJ5F,7259,7259,7259
H003110-C47QKR,4549306,4549306,4549306
H003111-SG87V0,1297091,1297091,1297091
H003112-90XH87,8651759,8651759,8651759
H003113-WHDUSW,-255429,-255429,-255429
H003114-BHTOGP,4298806,4298806,4298806
H003115-99QM4W,0,0,0
H003116-K2N3IK,-1070843,-1070843,-1070843
H003117-WUE7VA,1652228,1652228,1652228
H003118-GAKL0N,6781949,6781949,6781949
H003119-KG1S19,-463191,-463191,-463191
H003120-OMDTJD,0,0,0
H003121-FIVVIZ,0,0,0
H003122-K9CM8J,0,0,0
H003123-EXETOF,4745397,4745397,4745397
H003124-EICWTV,2900795,2894272,2629874
H003125-1WAXT6,0,0,0
H003126-EQVLQN,3546176,3546176,3546176
H003127-JBUN87,11982,11982,11982
H003128-6NCVWG,0,0,0
H003129-RUCCNS,5539149,5539149,5539149
H003130-LNGY9B,1332816,1332816,1332816
H003131-3V0YCK,9891485,9891485,9891485
H003132-IL769L,2156194,2156194,2156194
H003133-OJG5R0,-1132688,-1132688,-1132688
H003134-FDK2DC,0,0,0
H003135-4O5ODP,1601174,1601174,1601174
H003136-E21DRP,0,0,0
H003137-6KGOLL,1244686,1244686,1244686
H003138-T4TB1O,3223946,3223946,3223946
H003139-5HPVI9,12001,12001,12001
H003140-VRY5R6,-80507,-80507,-80507
H003141-YR77B6,4017,4017,4017
H003142-T5T0LW,966,966,966
H003143-E56KAN,1467167,1467167,1467167
H003144-UK0IEY,-49982,-49982,-49982
H003145-S9E98U,7150,7150,7150
H003146-4D4YPL,3599365,3599365,3599365
H003147-Z7L938,1174943,1174943,1174943
H003148-JAXV3W,2110407,2110407,2110407
H003149-5BXJXK,4891782,4891782,4891782
H003150-45O5TJ,688386,688386,688386
H003151-YQGFGL,6836616,6836616,6836616
H003152-3A8ASL,0,0,0
H003153-2MYX9P,1674918,1674918,1674918
H003154-VHYD5F,36734,36734,36734
H003155-U2IXPR,3592046,3592046,3592046
H003156-U9ZP68,2814961,2814961,2814961
H003157-IW33ZO,1565685,1565685,1565685
H003158-L335M8,1835065,1835065,1835065
H003159-JDUH5H,5223902,5223902,5223902
H003160-Z39PLV,2543812,2543812,2543812
